"Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"20160504COEAP","2",2016-05-04,"Spring","East High School Pueblo CO","East High School","Pueblo","CO","High","Parking Lot","Outside on School Property","No","After School","Drive-by Shooting",NA,"No","No","No","3",-104.5774626,38.289738
"20160423WIANA","5",2016-04-23,"Spring","Antigo High School Antigo WI","Antigo High School","Antigo","WI","High","Parking Lot","Outside on School Property","No","School Event","Domestic w/ Targeted Victim","Yes","Yes","No","Yes","10",-89.1740705,45.1330561
"20160315ALHUB","2",2016-03-15,"Spring","Huffman High School Birmingham AL","Huffman High School","Birmingham","AL","High","Parking Lot","Outside on School Property","Yes","Dismissal","Escalation of Dispute","No","No","No","No",NA,-86.6831918,33.6112208
"20160229OHMAM","5",2016-02-29,"Winter","Madison High School Middletown OH","Madison High School","Middletown","OH","High","Cafeteria","Inside School Building","Yes","Lunch","Indiscriminate Shooting","No","No","No","Yes","<10",-84.4433811,39.533917
"20160226TXPAP","3",2016-02-26,"Winter","Palestine High School Palestine TX","Palestine High School","Palestine","TX","High","Parking Lot","Outside on School Property","No","Sport Event","Domestic w/ Targeted Victim","No","Yes","No","No","<10",-95.6053465,31.7381072
"20160212AZING","5",2016-02-12,"Winter","Independence High School Glendale AZ","Independence High School","Glendale","AZ","High","Courtyard","Outside on School Property","Yes","Before School","Domestic w/ Targeted Victim","No","Yes","No","No","2",-112.222728,33.532528
"20160129PABEP","2",2016-01-29,"Winter","Benjamin Franklin High School Philadelphia PA","Benjamin Franklin High School","Philadelphia","PA","High","Hallway","Inside School Building","Yes","Lunch","Escalation of Dispute","No","No","No","No","1",-75.1620169,39.9635895
"20160122INLAI","2",2016-01-22,"Winter","Lawrence Central High School Indianapolis IN","Lawrence Central High School","Indianapolis","IN","High","Beside Building","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-86.0382149,39.85667
"20151105GAVEM","2",2015-11-05,"Fall","Vereen School Moultrie GA","Vereen School","Moultrie","GA","Other","Classroom","Inside School Building","Yes",NA,"Psychosis","No","No","No","No","1",-83.8059043,31.1768286
"20151015TXKAS","2",2015-10-15,"Fall","Karen Wagner High School San Antonio TX","Karen Wagner High School","San Antonio","TX","High","Parking Lot","Outside on School Property","Yes","Morning Classes","Anger Over Grade/Suspension/Discipline","No","No","No","No",NA,-98.3569359,29.4566422
"20150930SDHAH","4",2015-09-30,"Fall","Harrisburg High School Harrisburg SD","Harrisburg High School","Harrisburg","SD","High","Office","Inside School Building","Yes","Morning Classes","Psychosis","No","No","No","Yes","1",-96.7194485,43.4342954
"20150922NCCES","3",2015-09-22,"Fall","Central Elementary School Stateville NC","Central Elementary School","Stateville","NC","Elementary","Parking Lot","Outside on School Property","Yes","Dismissal","Domestic w/ Targeted Victim","No","Yes","No","No","2",-80.960623,35.928143
"20150903ORNEN","3",2015-09-03,"Fall","Newberg High School Newberg OR","Newberg High School","Newberg","OR","High","Football Field/Track","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-122.954452,45.3118946
